variety_exposure,mean_age,sd_age,min_age,max_age,mean_eng_proficiency,sd_eng_proficiency,min_eng_proficiency,max_eng_proficiency,female_count,male_count,other_count
variety_match,32.09285714285714,11.63837390590668,18,64,3.592857142857143,1.678884644193806,1,5,66,71,3
variety_mismatch,30.218309859154928,8.68937249093887,16,75,3.8450704225352115,1.5633015374946544,1,5,86,53,3
variety_mismatch_social,32.22962962962963,12.899693818384637,14,63,3.688888888888889,1.6860563660956707,1,5,86,49,NA
dialect_literacy,32.524096385542165,13.117511685334838,2,67,3.5060240963855422,1.6246099315586113,1,5,93,73,NA
