task,variety_exposure,word_type,lenient_coder_error_types,counts,n_subj,n,proportion
Spelling,No Dialect,Contrastive,Standard Word Mismatch,131,51,1200,0.10916666666666666
Spelling,No Dialect,Contrastive,Other Mismatch,664,78,1200,0.5533333333333333
Spelling,No Dialect,Untrained,Correct,314,55,960,0.32708333333333334
Spelling,No Dialect,Untrained,Dialect Word Match,0,0,0,0
Spelling,No Dialect,Untrained,Dialect Word Mismatch,0,0,0,0
Spelling,No Dialect,Untrained,Standard Word Mismatch,0,0,0,0
Spelling,No Dialect,Untrained,Other Mismatch,646,79,960,0.6729166666666667
Spelling,Dialect,Non-contrastive,Correct,385,60,1200,0.32083333333333336
Spelling,Dialect,Non-contrastive,Dialect Word Match,0,0,0,0
Spelling,Dialect,Non-contrastive,Dialect Word Mismatch,7,7,1200,0.005833333333333334
Spelling,Dialect,Non-contrastive,Standard Word Mismatch,86,40,1200,0.07166666666666667
Spelling,Dialect,Non-contrastive,Other Mismatch,722,79,1200,0.6016666666666667
Spelling,Dialect,Contrastive,Correct,372,58,1200,0.31
Spelling,Dialect,Contrastive,Dialect Word Match,0,0,0,0
Spelling,Dialect,Contrastive,Dialect Word Mismatch,33,21,1200,0.0275
Spelling,Dialect,Contrastive,Standard Word Mismatch,128,51,1200,0.10666666666666667
Spelling,Dialect,Contrastive,Other Mismatch,667,76,1200,0.5558333333333333
Spelling,Dialect,Untrained,Correct,290,55,960,0.3020833333333333
Spelling,Dialect,Untrained,Dialect Word Match,0,0,0,0
Spelling,Dialect,Untrained,Dialect Word Mismatch,0,0,0,0
Spelling,Dialect,Untrained,Standard Word Mismatch,0,0,0,0
Spelling,Dialect,Untrained,Other Mismatch,670,80,960,0.6979166666666666
Spelling,Dialect & Social,Non-contrastive,Correct,345,58,1200,0.2875
Spelling,Dialect & Social,Non-contrastive,Dialect Word Match,0,0,0,0
Spelling,Dialect & Social,Non-contrastive,Dialect Word Mismatch,2,2,1200,0.0016666666666666668
Spelling,Dialect & Social,Non-contrastive,Standard Word Mismatch,99,41,1200,0.0825
Spelling,Dialect & Social,Non-contrastive,Other Mismatch,754,77,1200,0.6283333333333333
Spelling,Dialect & Social,Contrastive,Correct,335,52,1200,0.2791666666666667
Spelling,Dialect & Social,Contrastive,Dialect Word Match,0,0,0,0
Spelling,Dialect & Social,Contrastive,Dialect Word Mismatch,29,20,1200,0.024166666666666666
Spelling,Dialect & Social,Contrastive,Standard Word Mismatch,120,46,1200,0.1
Spelling,Dialect & Social,Contrastive,Other Mismatch,716,75,1200,0.5966666666666667
Spelling,Dialect & Social,Untrained,Correct,283,47,960,0.2947916666666667
Spelling,Dialect & Social,Untrained,Dialect Word Match,0,0,0,0
Spelling,Dialect & Social,Untrained,Dialect Word Mismatch,0,0,0,0
Spelling,Dialect & Social,Untrained,Standard Word Mismatch,2,2,960,0.0020833333333333333
Spelling,Dialect & Social,Untrained,Other Mismatch,675,76,960,0.703125
Spelling,Dialect Literacy,Non-contrastive,Correct,395,62,1199,0.329441201000834
Spelling,Dialect Literacy,Non-contrastive,Dialect Word Match,0,0,0,0
Spelling,Dialect Literacy,Non-contrastive,Dialect Word Mismatch,3,3,1199,0.0025020850708924102
Spelling,Dialect Literacy,Non-contrastive,Standard Word Mismatch,94,40,1199,0.07839866555462886
Spelling,Dialect Literacy,Non-contrastive,Other Mismatch,707,76,1199,0.5896580483736447
Spelling,Dialect Literacy,Contrastive,Correct,286,56,1200,0.23833333333333334
Spelling,Dialect Literacy,Contrastive,Dialect Word Match,0,0,0,0
Spelling,Dialect Literacy,Contrastive,Dialect Word Mismatch,49,27,1200,0.04083333333333333
Spelling,Dialect Literacy,Contrastive,Standard Word Mismatch,109,43,1200,0.09083333333333334
Spelling,Dialect Literacy,Contrastive,Other Mismatch,756,76,1200,0.63
Spelling,Dialect Literacy,Untrained,Correct,295,50,960,0.3072916666666667
Spelling,Dialect Literacy,Untrained,Dialect Word Match,0,0,0,0
Spelling,Dialect Literacy,Untrained,Dialect Word Mismatch,0,0,0,0
Spelling,Dialect Literacy,Untrained,Standard Word Mismatch,0,0,0,0
Spelling,Dialect Literacy,Untrained,Other Mismatch,665,77,960,0.6927083333333334
